商品番号|商品名|active|販売価格0（定価）|商品写真（リンク）|広報フレーズ|販売開始時期|WEBサイトに掲載|商品名表記
10|円周率コースター|Yes（販売可能）|350|1jA5h3MExASMGArtQn15fc5Qc4lr97AfS|吸水性・耐熱性に優れたコルクに、円周率を109桁までらせん状に印字したコースター！水洗いでき、汚れてもお手入れが簡単。|Fri Jan 01 2016 00:00:00 GMT+0900 (Japan Standard Time)|はい(おすすめ)|
11|テイラー展開コースター|No（販売不可能）|350|||Fri Nov 01 2019 00:00:00 GMT+0900 (Japan Standard Time)|はい(過去商品)|
100|ベンゼン環ポーチ|生産凍結|800|||Sat Oct 01 2022 00:00:00 GMT+0900 (Japan Standard Time)|はい(過去商品)|
111|京大トート_くるみなし|No（販売不可能）|1800|1cBMupAcLnrmWuKgpL1FMOU9iQvsWNasV|おしゃれで実用的！京大地図デザインのトートバッグ。バッチで駐輪位置も記録OK♪丈夫で収納力抜群、プレゼントにも最適！|Tue Nov 01 2022 00:00:00 GMT+0900 (Japan Standard Time)|はい(過去商品)|京大トート
130|エコおまもり_交通安全|生産凍結|500|||Mon Nov 20 2023 00:00:00 GMT+0900 (Japan Standard Time)|はい(過去商品)|エコおまもり
140|力学的エネルギータオル|生産凍結|1000|||Thu Nov 09 2023 00:00:00 GMT+0900 (Japan Standard Time)|はい(過去商品)|
300|二進数トランプ|No（販売不可能）|2400|1CHkHq45TCQY6Uoz5mhIANKmUsmH6ImBI|ふつうのトランプに飽きたあなたへ。カード中央の模様は2進数を図示しています。|Tue Nov 01 2022 00:00:00 GMT+0900 (Japan Standard Time)|はい(EC)|２進数トランプ
400|工房豆本_京大生あるある|生産凍結|300|||Mon Nov 20 2023 00:00:00 GMT+0900 (Japan Standard Time)|はい(過去商品)|工房豆本
410|ありが糖ポチ袋|Yes（販売可能）|350|1NGTxh-TzYnHWKHz0mzYSqSIYFToXgIJI|お金と一緒に感謝も伝えましょう 直接は恥ずかしくても、ダジャレなら言いやすいよね😎|Sun Jun 30 2024 00:00:00 GMT+0900 (Japan Standard Time)|はい|
411|あまのじゃくみくじ|No（販売不可能）|0|1cClor8r8gRzAcnGJcUFF1BoeaCKm1bdf|🎲おみくじなのに数式とグラフ…？テラ吉にミリ吉、クエクト吉…？|Wed Nov 13 2024 00:00:00 GMT+0900 (Japan Standard Time)|はい(過去商品)|
